model_name,family,accuracy,precision,recall,f1,roc_auc,pr_auc,enron_n,enron_fp_rate,enron_mean_score
transformer_distilroberta-base,other,0.9980230287200009,0.997724428262601,0.9985196993851059,0.9981219054123271,0.9979956591537549,0.9970263030458274,,,
sbertfc_logistic_regression,sbertfc,0.9490135156171513,0.952741460221634,0.9503710058149174,0.9515525454078302,0.9876413491069279,0.9885990499085505,,,
sbertfc_ridge_classifier,sbertfc,0.9435223069625807,0.9500281331810404,0.9423730290657575,0.9461840816590371,0.9858515543476505,0.9867989056580724,,,
sbertfc_sgd_log,sbertfc,0.941045420005229,0.9444216897673174,0.9436444300237014,0.94402571740704,0.9842998301630764,0.9856704831588388,,,
tfidf_bernoulli_nb,tfidf,0.9174215315689329,0.9113963528753745,0.9340793769382275,0.9225960576243104,0.9563327128463476,0.9387434786044947,,,
tfidf_complement_nb,tfidf,0.96267533059716,0.9883901840960115,0.9401998079863398,0.963691142274865,0.9957431565746399,0.9958841534208442,,,
tfidf_decision_tree,tfidf,0.9658688185423279,0.9665903620040763,0.9687028464906126,0.9676446493158789,0.9660515664668751,0.9533983006838506,,,
tfidf_dummy_mf,tfidf,0.5268601959535513,0.5268601959535513,1.0,0.690122379658427,0.5,0.5268601959535513,,,
tfidf_logistic_regression,tfidf,0.9874597858979536,0.9855171105143006,0.9907601468846803,0.9881307722346143,0.9989282957397304,0.9989225027934951,,,
tfidf_ridge_classifier,tfidf,0.9919618033473613,0.9904004513305145,0.9943821765531687,0.9923870801241976,0.9993165552365945,0.9991268374981,,,
tfidf_sgd_hinge,tfidf,0.9865952125636305,0.983896733532375,0.99077493103607,0.9873230470811716,0.9986133342946092,0.9984161019791917,,,
tfidf_sgd_log,tfidf,0.9751921884035207,0.970003911233084,0.9833239285484334,0.9766174419565317,0.9970294981987224,0.9972531347859629,,,
